url,domain,status_code,x_frame_options,csp_frame_ancestors,iframe_compatible,risk_level,notes
https://elamigos.site/#TopOfPage,elamigos.site,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://m4ckd0ge-repacks.site/index.html,m4ckd0ge-repacks.site,200,,,True,VERY_HIGH,Aucune restriction iframe détectée dans les en-têtes; Site de téléchargement/piratage - risque juridique et sécurité
https://steamrip.com/,steamrip.com,403,SAMEORIGIN,,False,HIGH,X-Frame-Options: SAMEORIGIN bloque l'iframe
https://steamgg.net/,steamgg.net,403,SAMEORIGIN,,False,HIGH,X-Frame-Options: SAMEORIGIN bloque l'iframe
https://ankergames.net/,ankergames.net,200,SAMEORIGIN,,False,HIGH,X-Frame-Options: SAMEORIGIN bloque l'iframe
https://builditapp.com/,builditapp.com,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://www.geo-fs.com/,www.geo-fs.com,200,SAMEORIGIN,,False,HIGH,X-Frame-Options: SAMEORIGIN bloque l'iframe
https://www.emugames.com/,www.emugames.com,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://www.airconsole.com/,www.airconsole.com,405,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://www.emuparadise.me/,www.emuparadise.me,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://www.wemod.com/fr,www.wemod.com,200,,'none',False,HIGH,CSP frame-ancestors 'none' bloque l'iframe
https://fearlessrevolution.com/,fearlessrevolution.com,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://flingtrainer.com/,flingtrainer.com,200,SAMEORIGIN,,False,HIGH,X-Frame-Options: SAMEORIGIN bloque l'iframe
https://rivestream.org/manga,rivestream.org,,,,,MEDIUM,Timeout - site trop lent
https://fr.z-lib.gd/,fr.z-lib.gd,200,DENY,'none',False,HIGH,X-Frame-Options: DENY bloque l'iframe
https://audiobookbay.lu/,audiobookbay.lu,200,SAMEORIGIN,,False,HIGH,X-Frame-Options: SAMEORIGIN bloque l'iframe
https://fulllengthaudiobooks.net/,fulllengthaudiobooks.net,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://gallica.bnf.fr,gallica.bnf.fr,200,SAMEORIGIN,,False,VERY_LOW,X-Frame-Options: SAMEORIGIN bloque l'iframe; Site éducatif/gouvernemental - généralement sûr
https://openlibrary.org/,openlibrary.org,200,,,True,VERY_LOW,Aucune restriction iframe détectée dans les en-têtes; Site éducatif/gouvernemental - généralement sûr
